<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,100001,33.230000000,1000
USD000000TOD,0,20131204,100002,33.225000000,1000
USD000000TOD,0,20131204,100007,33.245500000,100000
USD000000TOD,0,20131204,100011,33.250000000,50000
USD000000TOD,0,20131204,100012,33.250000000,50000
USD000000TOD,0,20131204,100013,33.249500000,100000
USD000000TOD,0,20131204,100013,33.250000000,35000
USD000000TOD,0,20131204,100014,33.250000000,115000
USD000000TOD,0,20131204,100025,33.265000000,50000
USD000000TOD,0,20131204,100025,33.265000000,3000
USD000000TOD,0,20131204,100025,33.265000000,5000
USD000000TOD,0,20131204,100025,33.265000000,142000
USD000000TOD,0,20131204,100032,33.265000000,58000
USD000000TOD,0,20131204,100032,33.270000000,942000
USD000000TOD,0,20131204,100038,33.261500000,50000
USD000000TOD,0,20131204,100038,33.261500000,50000
USD000000TOD,0,20131204,100038,33.265000000,50000
USD000000TOD,0,20131204,100041,33.266000000,50000
USD000000TOD,0,20131204,100041,33.266000000,50000
USD000000TOD,0,20131204,100044,33.273500000,200000
USD000000TOD,0,20131204,100044,33.273500000,25000
USD000000TOD,0,20131204,100044,33.275000000,180000
USD000000TOD,0,20131204,100044,33.275500000,480000
USD000000TOD,0,20131204,100048,33.271000000,50000
USD000000TOD,0,20131204,100048,33.271000000,50000
USD000000TOD,0,20131204,100049,33.277500000,1000000
USD000000TOD,0,20131204,100050,33.270000000,15000
USD000000TOD,0,20131204,100050,33.267000000,200000
USD000000TOD,0,20131204,100050,33.266500000,285000
USD000000TOD,0,20131204,100050,33.266500000,100000
USD000000TOD,0,20131204,100050,33.270500000,500000
USD000000TOD,0,20131204,100050,33.266500000,100000
USD000000TOD,0,20131204,100050,33.266000000,40000
USD000000TOD,0,20131204,100050,33.266000000,10000
USD000000TOD,0,20131204,100051,33.265000000,31000
USD000000TOD,0,20131204,100051,33.261500000,30000
USD000000TOD,0,20131204,100051,33.261000000,500000
USD000000TOD,0,20131204,100051,33.260500000,200000
USD000000TOD,0,20131204,100052,33.264500000,200000
USD000000TOD,0,20131204,100053,33.264500000,1303000
USD000000TOD,0,20131204,100053,33.265500000,302000
USD000000TOD,0,20131204,100053,33.265500000,155000
USD000000TOD,0,20131204,100053,33.265500000,40000
USD000000TOD,0,20131204,100055,33.260500000,500000
USD000000TOD,0,20131204,100055,33.260500000,500000
USD000000TOD,0,20131204,100057,33.265000000,30000
USD000000TOD,0,20131204,100057,33.260500000,500000
USD000000TOD,0,20131204,100057,33.260500000,400000
USD000000TOD,0,20131204,100058,33.262000000,50000
USD000000TOD,0,20131204,100102,33.262000000,100000
USD000000TOD,0,20131204,100109,33.260000000,350000
USD000000TOD,0,20131204,100109,33.260000000,150000
USD000000TOD,0,20131204,100109,33.260000000,1324000
USD000000TOD,0,20131204,100109,33.260000000,100000
USD000000TOD,0,20131204,100109,33.256000000,53000
USD000000TOD,0,20131204,100109,33.255500000,447000
USD000000TOD,0,20131204,100109,33.255500000,53000
USD000000TOD,0,20131204,100119,33.257500000,800000
USD000000TOD,0,20131204,100119,33.258000000,200000
USD000000TOD,0,20131204,100121,33.253000000,42000
USD000000TOD,0,20131204,100126,33.253000000,3000
USD000000TOD,0,20131204,100130,33.252000000,8000
USD000000TOD,0,20131204,100130,33.252000000,13000
USD000000TOD,0,20131204,100130,33.252000000,30000
USD000000TOD,0,20131204,100130,33.252000000,5000
USD000000TOD,0,20131204,100130,33.252000000,140000
USD000000TOD,0,20131204,100130,33.252000000,5000
USD000000TOD,0,20131204,100130,33.252000000,4000
USD000000TOD,0,20131204,100133,33.251500000,46000
USD000000TOD,0,20131204,100133,33.251500000,5000
USD000000TOD,0,20131204,100139,33.252000000,1000
USD000000TOD,0,20131204,100139,33.255000000,50000
USD000000TOD,0,20131204,100139,33.251500000,56000
USD000000TOD,0,20131204,100140,33.251500000,893000
USD000000TOD,0,20131204,100140,33.250500000,107000
USD000000TOD,0,20131204,100140,33.251000000,207000
USD000000TOD,0,20131204,100140,33.250000000,10000
USD000000TOD,0,20131204,100140,33.250000000,500000
USD000000TOD,0,20131204,100141,33.250500000,1000000
USD000000TOD,0,20131204,100147,33.251500000,30000
USD000000TOD,0,20131204,100147,33.251000000,50000
USD000000TOD,0,20131204,100147,33.251500000,200000
USD000000TOD,0,20131204,100147,33.252500000,154000
USD000000TOD,0,20131204,100153,33.250000000,22000
USD000000TOD,0,20131204,100154,33.254000000,100000
USD000000TOD,0,20131204,100158,33.250000000,1000
USD000000TOD,0,20131204,100159,33.250000000,27000
USD000000TOD,0,20131204,100203,33.248000000,1000
USD000000TOD,0,20131204,100206,33.250000000,48000
USD000000TOD,0,20131204,100206,33.250000000,2000
USD000000TOD,0,20131204,100206,33.248000000,2000
USD000000TOD,0,20131204,100206,33.248000000,8000
USD000000TOD,0,20131204,100206,33.248000000,71000
USD000000TOD,0,20131204,100206,33.248000000,15000
USD000000TOD,0,20131204,100206,33.250000000,25000
USD000000TOD,0,20131204,100209,33.248500000,2000
USD000000TOD,0,20131204,100209,33.248500000,1000
USD000000TOD,0,20131204,100210,33.248500000,63000
USD000000TOD,0,20131204,100212,33.252000000,1000
USD000000TOD,0,20131204,100212,33.252500000,500000
USD000000TOD,0,20131204,100212,33.253500000,100000
USD000000TOD,0,20131204,100212,33.254000000,400000
USD000000TOD,0,20131204,100212,33.255000000,50000
USD000000TOD,0,20131204,100212,33.255000000,250000
USD000000TOD,0,20131204,100212,33.255000000,107000
USD000000TOD,0,20131204,100212,33.255000000,92000
USD000000TOD,0,20131204,100212,33.248000000,50000
USD000000TOD,0,20131204,100212,33.249000000,50000
USD000000TOD,0,20131204,100212,33.252500000,30000
USD000000TOD,0,20131204,100212,33.252500000,1000
USD000000TOD,0,20131204,100212,33.252500000,15000
USD000000TOD,0,20131204,100212,33.252500000,40000
USD000000TOD,0,20131204,100212,33.252500000,1000
USD000000TOD,0,20131204,100212,33.252500000,4000
USD000000TOD,0,20131204,100212,33.252500000,1000
USD000000TOD,0,20131204,100212,33.252500000,59000
USD000000TOD,0,20131204,100213,33.252500000,749000
USD000000TOD,0,20131204,100213,33.250000000,5000
USD000000TOD,0,20131204,100217,33.255000000,130000
USD000000TOD,0,20131204,100218,33.248000000,80000
USD000000TOD,0,20131204,100218,33.247500000,32000
USD000000TOD,0,20131204,100222,33.250000000,6000
USD000000TOD,0,20131204,100222,33.250000000,5000
USD000000TOD,0,20131204,100222,33.250000000,4000
USD000000TOD,0,20131204,100222,33.250000000,1000
USD000000TOD,0,20131204,100222,33.250000000,12000
USD000000TOD,0,20131204,100223,33.250000000,172000
USD000000TOD,0,20131204,100223,33.250000000,28000
USD000000TOD,0,20131204,100223,33.250000000,272000
USD000000TOD,0,20131204,100223,33.247500000,968000
USD000000TOD,0,20131204,100224,33.250000000,44000
USD000000TOD,0,20131204,100224,33.250000000,256000
USD000000TOD,0,20131204,100224,33.246500000,21000
USD000000TOD,0,20131204,100224,33.246500000,179000
USD000000TOD,0,20131204,100227,33.250000000,50000
USD000000TOD,0,20131204,100232,33.250000000,34000
USD000000TOD,0,20131204,100233,33.250000000,1000
USD000000TOD,0,20131204,100233,33.250000000,3000
USD000000TOD,0,20131204,100233,33.250000000,5000
USD000000TOD,0,20131204,100233,33.250000000,62000
USD000000TOD,0,20131204,100233,33.250000000,1000
USD000000TOD,0,20131204,100233,33.250000000,4000
USD000000TOD,0,20131204,100233,33.250000000,1000
USD000000TOD,0,20131204,100239,33.252000000,200000
USD000000TOD,0,20131204,100239,33.252000000,27000
USD000000TOD,0,20131204,100239,33.252000000,33000
USD000000TOD,0,20131204,100240,33.250000000,105000
USD000000TOD,0,20131204,100240,33.250000000,100000
USD000000TOD,0,20131204,100240,33.250000000,30000
USD000000TOD,0,20131204,100240,33.247000000,200000
USD000000TOD,0,20131204,100240,33.246500000,235000
USD000000TOD,0,20131204,100240,33.246500000,265000
USD000000TOD,0,20131204,100241,33.250000000,50000
USD000000TOD,0,20131204,100245,33.251000000,400000
USD000000TOD,0,20131204,100245,33.252500000,500000
USD000000TOD,0,20131204,100245,33.252500000,50000
USD000000TOD,0,20131204,100245,33.252500000,693000
USD000000TOD,0,20131204,100245,33.252500000,357000
USD000000TOD,0,20131204,100245,33.247500000,5000
USD000000TOD,0,20131204,100246,33.251000000,100000
USD000000TOD,0,20131204,100249,33.252000000,3000
USD000000TOD,0,20131204,100249,33.251000000,100000
USD000000TOD,0,20131204,100249,33.250500000,400000
USD000000TOD,0,20131204,100249,33.250000000,26000
USD000000TOD,0,20131204,100249,33.248500000,350000
USD000000TOD,0,20131204,100249,33.247500000,200000
USD000000TOD,0,20131204,100249,33.249500000,250000
USD000000TOD,0,20131204,100249,33.254000000,69000
USD000000TOD,0,20131204,100304,33.247500000,30000
USD000000TOD,0,20131204,100304,33.247500000,30000
USD000000TOD,0,20131204,100304,33.246500000,69000
USD000000TOD,0,20131204,100304,33.246500000,50000
USD000000TOD,0,20131204,100304,33.246000000,400000
USD000000TOD,0,20131204,100304,33.246000000,1000000
USD000000TOD,0,20131204,100304,33.246000000,79000
USD000000TOD,0,20131204,100304,33.246000000,544000
USD000000TOD,0,20131204,100304,33.245500000,1000000
USD000000TOD,0,20131204,100304,33.245500000,100000
USD000000TOD,0,20131204,100304,33.246000000,520000
USD000000TOD,0,20131204,100304,33.243500000,653000
USD000000TOD,0,20131204,100305,33.245500000,100000
USD000000TOD,0,20131204,100306,33.243500000,300000
USD000000TOD,0,20131204,100307,33.243500000,47000
USD000000TOD,0,20131204,100307,33.243000000,203000
USD000000TOD,0,20131204,100307,33.243000000,123000
USD000000TOD,0,20131204,100307,33.243000000,23000
USD000000TOD,0,20131204,100309,33.245000000,276000
USD000000TOD,0,20131204,100309,33.246000000,1278000
USD000000TOD,0,20131204,100309,33.247000000,30000
USD000000TOD,0,20131204,100316,33.250000000,100000
USD000000TOD,0,20131204,100316,33.245500000,12000
USD000000TOD,0,20131204,100316,33.244000000,39000
USD000000TOD,0,20131204,100316,33.244000000,25000
