<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,100001,1,1000
USD000000TOD,0,20131204,100002,1,1000
USD000000TOD,0,20131204,100003,2,100000
USD000000TOD,0,20131204,100004,2,50000
USD000000TOD,0,20131204,100205,3,50000
USD000000TOD,0,20131204,100206,3,100000
USD000000TOD,0,20131204,100307,4,35000
USD000000TOD,0,20131204,100308,4,115000
USD000000TOD,0,20131204,100409,5,50000
USD000000TOD,0,20131204,100410,5,3000
USD000000TOD,0,20131204,100525,6,5000
USD000000TOD,0,20131204,100525,6,142000
USD000000TOD,0,20131204,100632,7,58000
USD000000TOD,0,20131204,100632,7,942000
USD000000TOD,0,20131204,100738,8,50000
USD000000TOD,0,20131204,100738,8,50000
USD000000TOD,0,20131204,100838,9,50000
USD000000TOD,0,20131204,100841,9,50000
USD000000TOD,0,20131204,100941,10,50000
USD000000TOD,0,20131204,100944,10,200000
USD000000TOD,0,20131204,101044,10,25000
USD000000TOD,0,20131204,101044,10,180000
USD000000TOD,0,20131204,111144,9,480000
USD000000TOD,0,20131204,111148,9,50000
USD000000TOD,0,20131204,111248,9,50000
USD000000TOD,0,20131204,111249,9,1000000
